Avg. Sentence Length,% of Complex Words,FOG Index,Avg. Words per Sentence,Complex Word Count,Word Count,Syllables per Word,Personal Pronouns,Avg. Word Length
9.0,0.0,3.6,9.0,0,9,1.5555555555555556,0,6.333333333333333
5.5,18.181818181818183,9.472727272727274,5.5,2,11,1.5454545454545454,0,5.2727272727272725
6.0,0.0,2.4000000000000004,6.0,0,12,1.25,0,5.166666666666667
6.0,0.0,2.4000000000000004,6.0,0,12,1.3333333333333333,0,5.166666666666667
5.0,0.0,2.0,5.0,0,10,1.4,0,4.6
6.0,0.0,2.4000000000000004,6.0,0,12,1.3333333333333333,0,5.166666666666667
5.5,18.181818181818183,9.472727272727274,5.5,2,11,1.5454545454545454,0,5.818181818181818
5.0,0.0,2.0,5.0,0,5,1.0,0,6.2
4.5,0.0,1.8,4.5,0,9,1.4444444444444444,0,6.555555555555555
4.5,11.11111111111111,6.2444444444444445,4.5,1,9,1.3333333333333333,0,6.222222222222222
5.0,10.0,6.0,5.0,1,10,1.5,0,5.4
7.0,7.142857142857142,5.6571428571428575,7.0,1,14,1.2857142857142858,0,6.214285714285714
4.5,0.0,1.8,4.5,0,9,1.4444444444444444,0,5.555555555555555
4.0,0.0,1.6,4.0,0,8,1.125,0,5.25
11.0,0.0,4.4,11.0,0,11,1.3636363636363635,0,5.2727272727272725
5.0,0.0,2.0,5.0,0,10,1.4,0,6.0
5.0,0.0,2.0,5.0,0,10,1.3,0,4.9
10.0,10.0,8.0,10.0,1,10,1.4,1,5.5
6.0,50.0,22.400000000000002,6.0,3,6,2.3333333333333335,0,8.166666666666666
7.5,6.666666666666667,5.666666666666668,7.5,1,15,1.4,0,5.466666666666667
5.0,0.0,2.0,5.0,0,5,1.0,0,6.2
13.0,15.384615384615385,11.353846153846156,13.0,2,13,1.5384615384615385,0,6.0
7.0,14.285714285714285,8.514285714285714,7.0,2,14,1.4285714285714286,0,5.142857142857143
7.5,26.666666666666668,13.66666666666667,7.5,4,15,2.0,0,7.0
5.5,0.0,2.2,5.5,0,11,1.3636363636363635,0,5.636363636363637
7.0,14.285714285714285,8.514285714285714,7.0,2,14,1.5,0,5.642857142857143
4.5,0.0,1.8,4.5,0,9,1.2222222222222223,0,5.111111111111111
9.0,11.11111111111111,8.044444444444444,9.0,1,9,1.4444444444444444,0,5.333333333333333
4.5,11.11111111111111,6.2444444444444445,4.5,1,9,1.7777777777777777,0,6.888888888888889
3.5,14.285714285714285,7.114285714285714,3.5,1,7,1.7142857142857142,1,7.142857142857143
3.5,14.285714285714285,7.114285714285714,3.5,1,7,1.4285714285714286,0,7.571428571428571
11.0,18.181818181818183,11.672727272727274,11.0,2,11,1.7272727272727273,0,8.090909090909092
10.0,30.0,16.0,10.0,3,10,1.7,0,8.2
5.5,27.27272727272727,13.109090909090908,5.5,3,11,1.7272727272727273,1,5.636363636363637
6.5,30.76923076923077,14.90769230769231,6.5,4,13,1.9230769230769231,0,6.3076923076923075
5.0,20.0,10.0,5.0,2,10,1.6,1,6.3
4.0,12.5,6.6000000000000005,4.0,1,8,1.5,1,5.875
7.5,6.666666666666667,5.666666666666668,7.5,1,15,1.2,0,4.933333333333334
4.5,0.0,1.8,4.5,0,9,1.0,0,5.555555555555555
7.0,14.285714285714285,8.514285714285714,7.0,2,14,1.5,1,5.142857142857143
10.0,20.0,12.0,10.0,2,10,1.6,1,6.3
9.0,33.33333333333333,16.933333333333334,9.0,3,9,2.111111111111111,0,7.555555555555555
10.0,10.0,8.0,10.0,1,10,1.4,0,5.6
4.5,33.33333333333333,15.133333333333333,4.5,3,9,2.0,0,6.777777777777778
10.0,20.0,12.0,10.0,2,10,1.4,0,7.2
10.0,30.0,16.0,10.0,3,10,1.9,0,6.2
5.0,10.0,6.0,5.0,1,10,1.4,0,5.6
10.0,0.0,4.0,10.0,0,10,1.2,0,6.5
9.0,0.0,3.6,9.0,0,9,1.0,0,5.444444444444445
9.0,11.11111111111111,8.044444444444444,9.0,1,9,1.2222222222222223,0,5.888888888888889
10.0,40.0,20.0,10.0,4,10,1.9,0,7.0
6.0,8.333333333333332,5.733333333333333,6.0,1,12,1.3333333333333333,0,5.916666666666667
6.0,25.0,12.4,6.0,3,12,1.5833333333333333,0,6.583333333333333
7.0,21.428571428571427,11.371428571428572,7.0,3,14,1.9285714285714286,0,8.571428571428571
5.0,0.0,2.0,5.0,0,5,1.4,0,7.4
5.5,9.090909090909092,5.836363636363637,5.5,1,11,1.3636363636363635,0,6.2727272727272725
5.5,18.181818181818183,9.472727272727274,5.5,2,11,1.4545454545454546,0,6.0
5.0,30.0,14.0,5.0,3,10,1.8,0,6.5
11.0,0.0,4.4,11.0,0,11,0.9090909090909091,0,5.363636363636363
7.0,14.285714285714285,8.514285714285714,7.0,1,7,1.4285714285714286,0,7.285714285714286
7.0,28.57142857142857,14.228571428571428,7.0,2,7,1.8571428571428572,0,7.714285714285714
14.0,7.142857142857142,8.457142857142857,14.0,1,14,1.1428571428571428,0,5.928571428571429
12.0,8.333333333333332,8.133333333333333,12.0,1,12,1.25,0,5.333333333333333
12.0,8.333333333333332,8.133333333333333,12.0,1,12,1.25,0,5.333333333333333
6.0,16.666666666666664,9.066666666666666,6.0,1,6,1.6666666666666667,0,7.0
5.0,10.0,6.0,5.0,1,10,1.5,0,5.9
7.5,26.666666666666668,13.66666666666667,7.5,4,15,1.6666666666666667,0,5.933333333333334
11.0,18.181818181818183,11.672727272727274,11.0,2,11,1.4545454545454546,0,6.0
6.0,16.666666666666664,9.066666666666666,6.0,2,12,1.3333333333333333,0,6.583333333333333
12.0,50.0,24.8,12.0,6,12,2.25,0,6.833333333333333
4.0,25.0,11.600000000000001,4.0,2,8,1.625,0,7.375
5.0,0.0,2.0,5.0,0,10,1.0,0,5.4
14.0,7.142857142857142,8.457142857142857,14.0,1,14,1.1428571428571428,0,5.928571428571429
4.0,12.5,6.6000000000000005,4.0,1,8,1.25,0,7.125
9.0,22.22222222222222,12.488888888888889,9.0,2,9,1.6666666666666667,0,7.0
5.0,0.0,2.0,5.0,0,10,1.0,0,5.4
8.0,25.0,13.200000000000001,8.0,2,8,1.75,0,7.5
12.0,8.333333333333332,8.133333333333333,12.0,1,12,1.25,0,5.333333333333333
4.0,12.5,6.6000000000000005,4.0,1,8,1.25,0,7.125
5.0,0.0,2.0,5.0,0,10,1.0,0,5.4
14.0,7.142857142857142,8.457142857142857,14.0,1,14,1.1428571428571428,0,5.928571428571429
14.0,7.142857142857142,8.457142857142857,14.0,1,14,1.1428571428571428,0,5.928571428571429
8.0,25.0,13.200000000000001,8.0,2,8,1.75,0,7.5
5.5,9.090909090909092,5.836363636363637,5.5,1,11,1.2727272727272727,0,5.545454545454546
9.0,11.11111111111111,8.044444444444444,9.0,1,9,1.4444444444444444,0,5.888888888888889
9.0,22.22222222222222,12.488888888888889,9.0,2,9,1.5555555555555556,0,6.222222222222222
7.0,28.57142857142857,14.228571428571428,7.0,2,7,1.7142857142857142,0,7.571428571428571
10.0,20.0,12.0,10.0,2,10,1.4,0,6.4
4.5,22.22222222222222,10.68888888888889,4.5,2,9,1.6666666666666667,0,6.555555555555555
6.0,16.666666666666664,9.066666666666666,6.0,2,12,1.5,0,5.833333333333333
5.0,0.0,2.0,5.0,0,10,1.0,0,5.4
7.0,42.857142857142854,19.942857142857143,7.0,3,7,2.0,0,7.142857142857143
8.0,25.0,13.200000000000001,8.0,2,8,1.75,0,7.5
7.0,14.285714285714285,8.514285714285714,7.0,1,7,1.4285714285714286,0,7.285714285714286
9.5,10.526315789473683,8.010526315789475,9.5,2,19,1.2105263157894737,0,4.842105263157895
10.0,10.0,8.0,10.0,1,10,1.5,0,6.1
6.0,33.33333333333333,15.733333333333333,6.0,2,6,2.3333333333333335,0,8.5
16.0,12.5,11.4,16.0,2,16,1.375,0,5.9375
6.666666666666667,25.0,12.666666666666668,6.666666666666667,5,20,1.75,0,7.15
8.5,23.52941176470588,12.811764705882354,8.5,4,17,1.7058823529411764,0,6.0588235294117645
8.5,0.0,3.4000000000000004,8.5,0,17,1.0588235294117647,1,4.411764705882353
10.0,20.0,12.0,10.0,2,10,1.7,0,7.1
9.0,22.22222222222222,12.488888888888889,9.0,2,9,1.4444444444444444,0,6.0
6.0,33.33333333333333,15.733333333333333,6.0,2,6,1.8333333333333333,0,7.0
10.0,20.0,12.0,10.0,2,10,1.4,0,6.4
9.0,22.22222222222222,12.488888888888889,9.0,2,9,1.5555555555555556,0,5.888888888888889
11.0,18.181818181818183,11.672727272727274,11.0,2,11,1.6363636363636365,0,6.454545454545454
5.0,0.0,2.0,5.0,0,5,1.0,0,6.2
5.0,0.0,2.0,5.0,0,5,0.6,0,7.6
5.0,0.0,2.0,5.0,0,5,1.0,0,8.0
6.0,16.666666666666664,9.066666666666666,6.0,1,6,1.5,0,6.5
7.0,14.285714285714285,8.514285714285714,7.0,1,7,1.7142857142857142,0,6.714285714285714
8.0,25.0,13.200000000000001,8.0,2,8,1.875,0,7.375
10.0,20.0,12.0,10.0,2,10,1.8,0,6.6
